GeneID	Fold_change	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSG00000170160	11.6014437551399	240.602884316876	3.53623244927217	0.217047102344389	16.2924656034395	1.11636315428121e-59	1.28392926373882e-55
ENSG00000188933	2.33901732785174	429.723787177148	1.22590254946853	0.131590387335976	9.31604940365868	1.20752864102067e-20	6.94389345018935e-17
ENSG00000132510	0.603247000089917	5466.0434516607	-0.729179258861853	0.0830745875955726	-8.77740449837291	1.67290456223144e-18	6.41335845674125e-15
ENSG00000126822	0.492282307580626	4148.46170209241	-1.0224422042367	0.119127276759776	-8.58277157043125	9.26141539797165e-18	2.6628884623018e-14
ENSG00000072110	0.607639991446546	7064.15570464692	-0.718711271849584	0.0871036690214196	-8.25121696851652	1.56789593399197e-16	3.60647422736833e-13
ENSG00000197321	0.591826783125645	2477.34460620284	-0.756753107702925	0.0933142664914997	-8.1097257274359	5.07341485727813e-16	9.72489071225929e-13
ENSG00000254415	0.359614786466969	1650.2736953853	-1.47547575277806	0.183945722565049	-8.02125611948539	1.04669226102648e-15	1.71971538486651e-12
ENSG00000142599	0.621617419613821	3562.75161789563	-0.685901161865123	0.0878226372142857	-7.81007247814179	5.71551090324577e-15	8.2167613622787e-12
ENSG00000197081	0.58826838944548	20540.9446008553	-0.765453579655178	0.0990069139902732	-7.73131439820838	1.0644178003557e-14	1.3602076802101e-11
ENSG00000022567	0.498878351746023	2910.16172181382	-1.00324002827961	0.134836823544373	-7.44040093728147	1.00380168476421e-13	1.15447231764732e-10
ENSG00000066336	0.647420356238092	8565.61894698342	-0.627225367304366	0.0855603974726918	-7.33079071429696	2.2879873005956e-13	2.39219472219545e-10
ENSG00000250138	0.354140673526634	510.87817184034	-1.49760554620137	0.207530341382624	-7.21632093034644	5.3412918201238e-13	5.11918310193699e-10
ENSG00000167470	0.645435236097543	2731.07533131093	-0.631655754193665	0.0880511855913358	-7.17373366356829	7.2979524330669e-13	6.45644237943865e-10
ENSG00000073150	0.40923179927783	562.975105325494	-1.28900984110919	0.180694052200015	-7.13365949468195	9.77349373882542e-13	7.77104149825582e-10
ENSG00000090238	0.574815594742166	5091.95321278967	-0.798828892257052	0.112198736214259	-7.11976729159921	1.08109437415958e-12	7.77104149825582e-10
ENSG00000234389	5.36255801151358	150.746751590752	2.42292134959965	0.339964521656636	7.12698295043502	1.02592794407208e-12	7.77104149825582e-10
ENSG00000198858	0.674824377990839	7395.60986236737	-0.567416003047264	0.0799514590214827	-7.09700623342972	1.27488310800961e-12	8.62495919130504e-10
ENSG00000143878	0.490648830142022	2550.88968444516	-1.02723727457088	0.145494135239386	-7.06033458242654	1.66102171008628e-12	1.06130059376124e-09
ENSG00000270231	3.27022246780413	1123.22672467845	1.70938878320977	0.25136539474145	6.80041413404584	1.04318832998871e-11	6.3145836753685e-09
ENSG00000196562	0.650581360591687	4799.2566887208	-0.620198605688694	0.0920010694769371	-6.74121082738245	1.57072093082913e-11	8.60231496450754e-09
ENSG00000137076	0.659782763716875	15090.3499126788	-0.599937005715946	0.0889926157681762	-6.74142456132281	1.56841164267198e-11	8.60231496450754e-09
ENSG00000236438	0.43189728013609	5322.6369761482	-1.21123986365507	0.180676331694693	-6.70392105204917	2.02899912890204e-11	1.06070540825011e-08
ENSG00000189283	2.89477148371644	213.984094013755	1.53344946485654	0.233368588078849	6.570933464012	5.0000800404144e-11	2.39608002270025e-08
ENSG00000162747	0.469104764258756	57392.1089406922	-1.0920179418736	0.166082065245625	-6.57517077631814	4.85973579007924e-11	2.39608002270025e-08
ENSG00000248019	0.60096474881542	961.171219515297	-0.734647726581048	0.113558555151145	-6.46932963882151	9.84386419993784e-11	4.5285712865394e-08
ENSG00000163191	0.602490117455377	9955.80253074111	-0.730990517636132	0.113683206267841	-6.43006598453861	1.27548564539833e-10	5.64206169527932e-08
ENSG00000167173	0.617789737151472	4248.43791491938	-0.694812190065642	0.108699818046637	-6.39202716758495	1.63700803533141e-10	6.85915036568587e-08
ENSG00000167552	0.55998879513372	6769.033703302	-0.836530134443442	0.130933190089907	-6.38898459488404	1.66990879261981e-10	6.85915036568587e-08
ENSG00000185262	0.626689444656013	1733.61270790011	-0.674177400900594	0.105783177999394	-6.37320048093519	1.85123630266917e-10	7.34174783344764e-08
ENSG00000161036	0.535623346525159	504.425192807688	-0.900709249269945	0.142673012883151	-6.31310176373457	2.73497522043798e-10	1.04849833367524e-07
ENSG00000099308	0.629960401017897	2814.9565445372	-0.666666950482147	0.106648107587161	-6.25109029653712	4.07597122801303e-10	1.51218532559283e-07
ENSG00000175115	0.679840228180554	3233.26523248731	-0.556732361899446	0.0895758028904189	-6.21520928570984	5.12562872624107e-10	1.84218299939058e-07
ENSG00000129353	0.659206923897705	8396.36961948382	-0.601196699119231	0.0977948297204011	-6.14753050685883	7.86985673735698e-10	2.7427643132225e-07
ENSG00000077420	0.701704128141764	4657.15839303859	-0.5110652450423	0.0832040199820086	-6.14231433953322	8.13277109979136e-10	2.75102942407942e-07
ENSG00000140332	0.622115463985696	5206.81694950933	-0.684745726974998	0.112108100444922	-6.10790588956067	1.00946844025591e-09	3.31711329468092e-07
ENSG00000282034	0.586726244362105	765.13371314867	-0.769240569446609	0.12615317561009	-6.09767107111242	1.07624916809939e-09	3.42756165116783e-07
ENSG00000159840	0.568311552922977	8826.07728300053	-0.815246051369886	0.133783095180096	-6.0937897293557	1.10268481952186e-09	3.42756165116783e-07
ENSG00000166130	0.575861615111034	1001.06573063662	-0.796205934573352	0.131106249887429	-6.07298229685458	1.25556301690976e-09	3.68251576492704e-07
ENSG00000148400	0.628343779310696	5838.07483617939	-0.670373992769178	0.110444318480688	-6.06979156547922	1.28076367791567e-09	3.68251576492704e-07
ENSG00000135766	0.575871986467483	3431.27342889876	-0.796179951647271	0.131030303510523	-6.07630395653729	1.22984193423664e-09	3.68251576492704e-07
ENSG00000125505	0.657973298924023	7682.16962916417	-0.60389905544281	0.10006989816768	-6.03477235912542	1.59186931206128e-09	4.4653875507358e-07
ENSG00000142634	0.711975258630749	10764.5967952672	-0.490100986941348	0.0814004629656309	-6.02086240158461	1.73490198684413e-09	4.75073994064151e-07
ENSG00000108840	0.608317260787919	1968.93971329558	-0.717104154133246	0.120388230577443	-5.95659684251236	2.57544524645972e-09	6.88841762314725e-07
ENSG00000064225	0.559268569613001	624.817442039444	-0.838386840440127	0.140917253616958	-5.94949744563595	2.68967039526861e-09	7.03043163999642e-07
ENSG00000101460	0.43639332943793	165.474889474043	-1.19629904560982	0.202395938922321	-5.91068700281067	3.40683840475594e-09	8.70712188735512e-07
ENSG00000163545	0.639102237705723	2299.25354324163	-0.645881356152127	0.109478868062144	-5.89959841186429	3.6438738158177e-09	8.9956794827114e-07
ENSG00000072864	0.590651461902289	1759.37952979067	-0.759621034729754	0.128789885777593	-5.89814200193905	3.67617542550592e-09	8.9956794827114e-07
ENSG00000008516	0.501890669946282	10913.6704607356	-0.994554967971736	0.169292424973851	-5.87477536650183	4.23417106080132e-09	1.01452502854742e-06
ENSG00000173535	0.624011108637739	11829.2301454073	-0.680356382732651	0.116446723919936	-5.84264082174126	5.13797203024429e-09	1.20595543509877e-06
ENSG00000105701	0.652968989219917	6110.0956349651	-0.614913617910446	0.105807322398328	-5.81163575423927	6.18653346655555e-09	1.42302642797711e-06
ENSG00000123405	0.602698985935482	4137.01286990994	-0.730490457483557	0.125998713895187	-5.79760249053989	6.72696699462422e-09	1.51699700794457e-06
ENSG00000157551	0.505640682608465	4191.31116593627	-0.98381555099994	0.171834849037722	-5.72535522630784	1.03217535202087e-08	2.28289398530616e-06
ENSG00000064547	0.56251983816805	1929.97227747268	-0.830024118696378	0.145377087911904	-5.70945621912138	1.13337706580261e-08	2.42720416350009e-06
ENSG00000105011	0.489913864521023	389.333798310637	-1.02939997454096	0.180425714966531	-5.70539501385328	1.16073584029654e-08	2.42720416350009e-06
ENSG00000135407	0.404381223182057	416.557349473422	-1.30621208540866	0.228832277607099	-5.70816363437766	1.14201600754346e-08	2.42720416350009e-06
ENSG00000282051	0.537777472356147	1166.56965019609	-0.894918773296486	0.157037654354837	-5.69875280532628	1.20687067989124e-08	2.47861065882664e-06
ENSG00000224152	0.511996165839035	468.014115552341	-0.965795088462325	0.169728676114364	-5.69022931523705	1.26868877952207e-08	2.55985783390935e-06
ENSG00000197324	0.63983380908939	9449.1096542889	-0.644230867802798	0.113644471668419	-5.66882716197996	1.43778313788511e-08	2.8510248049684e-06
ENSG00000142347	0.675473299985294	22582.8652855058	-0.566029350858391	0.100542872980166	-5.62973121894032	1.80490664743683e-08	3.34810183099533e-06
ENSG00000172081	0.661323798574086	6501.09200952526	-0.596571275171336	0.105937278733312	-5.63136303201779	1.78790935529106e-08	3.34810183099533e-06
ENSG00000143297	3.03948491809462	495.891804631199	1.60382686015844	0.284806865527641	5.63127878672148	1.78878305308799e-08	3.34810183099533e-06
ENSG00000135636	0.623872679557595	4896.50533226714	-0.680676462134509	0.120905910090667	-5.62980305614566	1.80415508603724e-08	3.34810183099533e-06
ENSG00000015285	0.646813021225371	4426.01161025721	-0.628579372371122	0.1117303611536	-5.62586002480554	1.84585984059183e-08	3.3697196867693e-06
ENSG00000197956	0.682633894312739	10115.5976364396	-0.55081604560894	0.0980442674918135	-5.61803417680623	1.93142301549066e-08	3.47082751580594e-06
ENSG00000171916	0.364553811146422	189.924679255299	-1.45579631094101	0.259507234976303	-5.60984864670129	2.02503640949131e-08	3.55259586326922e-06
ENSG00000205352	0.69995707350321	4881.86461195134	-0.514661646748327	0.0917615626791905	-5.60868441776265	2.03870382554359e-08	3.55259586326922e-06
ENSG00000034152	0.695156452688908	2484.88625624519	-0.52459038594784	0.0936175841536195	-5.60354543102743	2.10011037684042e-08	3.60498051403608e-06
ENSG00000131471	0.458072292323929	271.700561347439	-1.1263527944977	0.201138773919663	-5.59987899174318	2.14501485501146e-08	3.62791409521864e-06
ENSG00000100345	0.688133890251282	25212.5267403035	-0.539238797389523	0.0969873089281875	-5.55989029233497	2.69944281822419e-08	4.49946258730383e-06
ENSG00000282416	0.471866237306255	1506.86033866466	-1.0835501465815	0.196496494220799	-5.51434849195801	3.50074327712018e-08	5.6707110465013e-06
ENSG00000135365	0.722192019463514	2747.75119908379	-0.469545616921532	0.0851227260798677	-5.51610173387744	3.4660166850521e-08	5.6707110465013e-06
ENSG00000177105	0.695094644134876	4635.86905195983	-0.52471866621987	0.0953360952420029	-5.50388249999031	3.71517206879024e-08	5.93447138377174e-06
ENSG00000146112	0.715798006734788	7883.38430199767	-0.482375568565086	0.0879851898071816	-5.48246323753129	4.19444181070046e-08	6.51895611687378e-06
